receipt_code	drug_name
643310450	カーミパック生理食塩液　５００ｍＬ
643310452	生理食塩液「ヒカリ」　１Ｌ
643310454	カーミパック生理食塩液　１Ｌ
643310473	大塚生食注ＴＮ　１００ｍＬ
643310476	大塚生食注　２５０ｍＬ
643310486	ソリューゲンＧ注　５００ｍＬ
643310491	フルクトラクト注　２００ｍＬ
643310492	フルクトラクト注　５００ｍＬ
643310493	ペロール注　３００ｍＬ
643310494	ペロール注　５００ｍＬ
643310497	ラクテック注　２５０ｍＬ
643310508	生食溶解液キットＨ　１００ｍＬ
620767311	生食液バッグ５００ｍＬ「ＣＭＸ」
622830800	生理食塩液
622830801	大塚生食注
622902900	生理食塩液１０ｍＬキット
621672203	生食注シリンジ「ＮＩＧ」１０ｍＬ
621672104	生食注シリンジ「ＮＩＧ」２０ｍＬ
622935900	生理食塩液２０ｍＬキット
622903000	生理食塩液５ｍＬキット
621672304	生食注シリンジ「ＮＩＧ」５ｍＬ
621606302	ハルトマンＤ液「フソー」
622830002	ハルトマンＤ液「フソー」
620001315	大塚糖液５０％　２００ｍＬ
620001316	大塚糖液５０％　５００ｍＬ
620001317	光糖液１０％　５００ｍＬ
620001892	キシリトール注２０％（大塚製薬工場）　２０ｍＬ
620001947	キシリトール注射液　５％２００ｍＬ
620001948	キシリトール注射液　５％５００ｍＬ
620002399	キシリトール注「ヒカリ」５％　５００ｍＬ
620002599	ブドウ糖注５０％シリンジ「テルモ」　２０ｍＬ
620002935	キシリトール注射液　５％３００ｍＬ
620003059	キリット注５％　３００ｍＬ
620003091	キリット注５％　５００ｍＬ
620004172	光糖液５％　２５０ｍＬ
620004173	光糖液２０％　５００ｍＬ
620004174	光糖液３０％　５００ｍＬ
620004396	果糖注２０％「フソー」　２０ｍＬ
620004397	キシリトール注５％「フソー」　２００ｍＬ
620004398	キシリトール注５％「フソー」　５００ｍＬ
620004399	キシリトール注５％「フソー」　５００ｍＬ
620004400	キシリトール注１０％「フソー」　２０ｍＬ
620004401	キシリトール注２０％「フソー」　２０ｍＬ
620006218	カロナリーＨ輸液　７００ｍＬ
620006219	カロナリーＭ輸液　７００ｍＬ
620006220	カロナリーＬ輸液　７００ｍＬ
620006268	テルモ糖注５％　２５０ｍＬ
620006269	テルモ糖注５％　５００ｍＬ
620006292	ブドウ糖注５％バッグ「フソー」　２５０ｍＬ
620006293	ブドウ糖注５％バッグ「フソー」　５００ｍＬ
620006294	ブドウ糖注５％ＰＬ「フソー」　２００ｍＬ
620006634	テルモ糖注５％　１００ｍＬ
620006635	テルモ糖注１０％　５００ｍＬ
620006636	テルモ糖注５０％　２００ｍＬ
620006637	テルモ糖注５０％　５００ｍＬ
620006641	ブドウ糖注５％ＰＬ「フソー」　２０ｍＬ
620006642	ブドウ糖注５％ＰＬ「フソー」　１００ｍＬ
620006643	ブドウ糖注５％ＰＬ「フソー」　５００ｍＬ
